,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Provideniya,64.3833,-173.3,11.73,85,99,3.27,RU,1628244960
1,Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.33,62,75,3.0,RU,1628244960
2,Nikolskoye,59.7035,30.7861,20.94,66,55,4.96,RU,1628244960
3,Kibaya,-5.3,36.5667,24.18,37,21,3.15,TZ,1628244961
4,Saskylakh,71.9167,114.0833,15.1,47,100,6.24,RU,1628244961
5,Beira,-19.8436,34.8389,25.05,69,20,2.06,MZ,1628244962
6,Lagoa,39.05,-27.9833,22.07,72,6,8.03,PT,1628244962
7,Lavrentiya,65.5833,-171.0,9.18,92,100,3.17,RU,1628244962
8,Albany,42.6001,-73.9662,17.02,92,1,1.22,US,1628244751
9,Mataura,-46.1927,168.8643,6.93,98,100,1.37,NZ,1628244964
10,Hvittingfoss,59.4833,10.0167,21.03,48,80,0.45,NO,1628244964
11,Magán,39.9683,-3.931,30.83,26,23,5.09,ES,1628244965
12,Touros,-5.1989,-35.4608,23.5,74,97,7.06,BR,1628244966
13,Vaini,-21.2,-175.2,22.09,88,75,4.63,TO,1628244966
14,East London,-33.0153,27.9116,20.52,60,20,7.72,ZA,1628244967
15,Santarém,-2.4431,-54.7083,23.07,100,40,0.0,BR,1628244967
16,Kiama,-34.6833,150.8667,14.65,58,0,4.63,AU,1628244967
17,Ipixuna,-1.7625,-48.8043,24.97,94,6,1.2,BR,1628244968
18,Qinhuangdao,39.9317,119.5883,27.43,78,0,2.7,CN,1628244969
19,Vila,42.0304,-8.1588,14.83,71,19,2.13,PT,1628244969
20,Havelock,34.8791,-76.9013,23.85,96,47,2.62,US,1628244966
21,Bluff,-46.6,168.3333,7.11,86,100,7.34,NZ,1628244970
22,Ushuaia,-54.8,-68.3,1.81,64,40,6.69,AR,1628244895
23,Masty,53.4122,24.5387,15.06,82,99,5.15,BY,1628244970
24,George Town,5.4112,100.3354,31.97,70,20,0.45,MY,1628244971
25,Kapaa,22.0752,-159.319,26.18,82,90,1.34,US,1628244971
26,Westport,41.1415,-73.3579,20.66,97,1,0.45,US,1628244972
27,Avarua,-21.2078,-159.775,21.03,78,100,2.06,CK,1628244972
28,Rikitea,-23.1203,-134.9692,23.2,78,8,6.04,PF,1628244972
29,Massaguet,12.4755,15.4365,23.02,58,95,6.66,TD,1628244973
30,Daru,-9.0763,143.2092,24.52,82,66,7.68,PG,1628244973
31,Punta Arenas,-53.15,-70.9167,1.06,80,75,7.72,CL,1628244764
32,Necochea,-38.5473,-58.7368,7.8,93,2,4.6,AR,1628244974
33,Clyde River,70.4692,-68.5914,3.13,100,90,3.6,CA,1628244974
34,Ayan,56.45,138.1667,12.89,86,98,3.69,RU,1628244975
35,Uíge,-7.6087,15.0613,30.98,31,45,1.47,AO,1628244975
36,Butaritari,3.0707,172.7902,28.79,66,27,5.39,KI,1628244976
37,Paamiut,61.994,-49.6678,6.24,92,73,0.09,GL,1628244976
38,Tuatapere,-46.1333,167.6833,7.12,88,100,2.33,NZ,1628244976
39,Kavaratti,10.5669,72.642,27.91,82,100,10.0,IN,1628244977
40,Bethel,41.3712,-73.414,19.16,93,90,0.0,US,1628244685
41,Ocampo,21.65,-101.5,14.16,86,100,2.5,MX,1628244977
42,Ponta do Sol,32.6667,-17.1,25.4,78,65,1.09,PT,1628244978
43,Thompson,55.7435,-97.8558,6.09,93,90,2.06,CA,1628244780
44,Three Hills,51.7001,-113.2686,16.66,87,100,1.03,CA,1628244978
45,Gisborne,-38.6533,178.0042,9.97,85,100,2.55,NZ,1628244979
46,Malbork,54.0359,19.0266,19.37,65,100,6.27,PL,1628244979
47,Longyearbyen,78.2186,15.6401,7.91,66,40,4.12,SJ,1628244980
48,Chippewa Falls,44.9369,-91.3929,18.32,93,1,0.0,US,1628244850
49,Busselton,-33.65,115.3333,14.01,73,0,3.43,AU,1628244980
50,Bredasdorp,-34.5322,20.0403,17.62,68,75,3.09,ZA,1628244981
51,Lebu,-37.6167,-73.65,10.54,89,100,1.94,CL,1628244981
52,Sitka,57.0531,-135.33,12.94,88,40,1.54,US,1628244982
53,Ust-Nera,64.5667,143.2,15.13,55,12,1.95,RU,1628244982
54,Burns Lake,54.2331,-125.7533,8.68,82,14,1.89,CA,1628244908
55,Los Llanos de Aridane,28.6585,-17.9182,22.29,84,40,5.14,ES,1628244984
56,Cherskiy,68.75,161.3,7.19,82,82,3.57,RU,1628244984
57,Klaksvík,62.2266,-6.589,14.51,96,99,4.93,FO,1628244985
58,Banbury,52.0602,-1.3403,19.26,81,83,1.34,GB,1628244985
59,Province of Siena,43.2167,11.4,28.61,51,2,2.76,IT,1628244986
60,Hohoe,7.1518,0.4736,26.16,75,88,1.99,GH,1628244977
61,Hamilton,39.1834,-84.5333,19.84,93,40,0.0,US,1628244986
62,Xai-Xai,-25.0519,33.6442,28.16,31,0,3.85,MZ,1628244987
63,Ribeira Grande,38.5167,-28.7,25.22,65,20,5.14,PT,1628244987
64,Barrow,71.2906,-156.7887,2.01,77,90,6.17,US,1628244902
65,Norfolk,42.1668,-71.2495,18.94,96,20,0.0,US,1628244988
66,Hobart,-42.8794,147.3294,11.92,59,20,0.45,AU,1628244930
67,Dingle,10.9995,122.6711,27.65,79,80,4.93,PH,1628244988
68,Muscatine,41.4667,-91.1335,21.09,91,90,4.12,US,1628244989
69,Yellowknife,62.456,-114.3525,13.49,66,78,3.58,CA,1628244856
70,Bambous Virieux,-20.3428,57.7575,24.14,60,40,4.63,MU,1628244989
71,Cidreira,-30.1811,-50.2056,14.84,94,100,6.64,BR,1628244990
72,Port Alfred,-33.5906,26.891,17.94,75,41,6.74,ZA,1628244990
73,Hithadhoo,-0.6,73.0833,27.75,70,100,3.63,MV,1628244991
74,Hasaki,35.7333,140.8333,27.94,85,12,3.21,JP,1628244991
75,Norman Wells,65.282,-126.8329,11.02,93,75,0.0,CA,1628244991
76,Kaohsiung City,22.6163,120.3133,27.97,92,90,5.36,TW,1628244957
77,Carnarvon,-24.8667,113.6333,20.04,45,17,3.09,AU,1628244992
78,Upernavik,72.7868,-56.1549,6.13,83,71,6.5,GL,1628244993
79,Breves,-1.6822,-50.4803,22.71,91,7,1.44,BR,1628244993
80,Te Anau,-45.4167,167.7167,5.3,92,99,1.16,NZ,1628244993
81,Luba,3.4568,8.5547,24.75,85,100,1.07,GQ,1628244994
82,Jumla,29.2747,82.1838,18.49,90,100,0.9,NP,1628244905
83,Namatanai,-3.6667,152.4333,25.38,87,100,3.59,PG,1628244994
84,Ponta Delgada,37.7333,-25.6667,24.4,73,20,4.63,PT,1628244995
85,Wagar,16.1525,36.2032,30.54,54,100,3.13,SD,1628244995
86,Matagami,49.7502,-77.6328,17.06,94,90,3.09,CA,1628244863
87,Priladozhskiy,59.85,31.4833,20.81,80,74,5.52,RU,1628244996
88,Katsuura,35.1333,140.3,31.73,88,14,3.53,JP,1628244996
89,Castro,-24.7911,-50.0119,7.93,99,100,2.5,BR,1628244768
90,Poum,-20.2333,164.0167,20.89,64,52,9.3,NC,1628244997
91,Plettenberg Bay,-34.0527,23.3716,17.52,71,44,2.12,ZA,1628244997
92,Wewak,-3.5534,143.6268,26.65,85,21,3.63,PG,1628244998
93,Kuala Selangor,3.35,101.25,29.39,68,99,1.72,MY,1628244779
94,Agadez,19.75,10.25,38.32,8,94,1.72,NE,1628244797
95,Cockburn Town,21.4612,-71.1419,27.88,75,25,7.87,TC,1628244999
96,Flinders,-34.5833,150.8552,14.54,58,0,1.79,AU,1628244999
97,Sémbé,1.6481,14.5806,26.35,75,90,2.32,CG,1628244999
98,Caravelas,-17.7125,-39.2481,21.48,69,55,4.73,BR,1628245000
99,Tuktoyaktuk,69.4541,-133.0374,3.22,83,100,7.95,CA,1628245001
100,Rondonópolis,-16.4708,-54.6356,19.28,41,100,1.62,BR,1628245001
101,Aykhal,66.0,111.5,13.96,53,56,10.63,RU,1628245002
102,Parabel',58.6978,81.4825,23.24,59,87,3.53,RU,1628245002
103,Deputatsky,69.3,139.9,5.36,81,100,4.06,RU,1628245002
104,Jamestown,42.097,-79.2353,16.58,98,1,1.88,US,1628244970
105,Walvis Bay,-22.9575,14.5053,20.18,44,1,4.0,NA,1628245003
106,Saint Paul Harbor,57.79,-152.4072,11.73,94,90,2.06,US,1628245004
107,Alice Springs,-23.7,133.8833,11.75,37,0,3.6,AU,1628245004
108,Vardø,70.3705,31.1107,19.86,87,0,3.6,NO,1628245004
109,Batagay-Alyta,67.8006,130.4114,11.01,57,60,1.72,RU,1628244736
110,Saint-Imier,47.1528,6.9969,19.7,67,75,6.17,CH,1628245005
111,Cabo San Lucas,22.8909,-109.9124,28.62,81,75,1.34,MX,1628245005
112,Atuona,-9.8,-139.0333,25.16,79,19,6.25,PF,1628244891
113,Lebedinyy,58.5167,125.5167,15.61,88,100,1.47,RU,1628245006
114,Māndal,25.45,74.5667,26.64,82,100,3.23,IN,1628245006
115,Tromsø,69.6496,18.957,20.36,67,0,1.54,NO,1628245007
116,Solnechnyy,50.7214,136.6319,14.91,99,100,1.99,RU,1628245007
117,Saint George,37.1041,-113.5841,33.33,25,1,3.13,US,1628244935
118,Sarh,9.1429,18.3923,27.95,69,40,6.17,TD,1628245008
119,Yeppoon,-23.1333,150.7333,15.88,70,100,2.52,AU,1628245008
120,Rome,43.2128,-75.4557,17.16,93,1,2.06,US,1628244831
121,Richards Bay,-28.783,32.0377,25.48,39,0,5.2,ZA,1628245009
122,Harper,4.375,-7.7169,26.65,65,58,3.92,LR,1628245009
123,Qaanaaq,77.484,-69.3632,6.0,59,3,2.54,GL,1628245010
124,Lemon Tree Passage,-32.7327,152.036,14.87,87,0,2.78,AU,1628245010
125,Stornoway,58.2093,-6.3865,16.63,88,40,4.12,GB,1628245011
126,Pelym,61.0108,61.9978,17.14,70,100,4.57,RU,1628245011
127,Cape Town,-33.9258,18.4232,20.62,66,0,1.03,ZA,1628244960
128,San Juan,-31.5375,-68.5364,13.32,39,95,1.23,AR,1628245012
129,Omsukchan,62.5333,155.8,6.29,81,72,3.47,RU,1628245012
130,Khovd,48.0056,91.6419,23.06,25,85,5.26,MN,1628245013
131,Geraldton,-28.7667,114.6,15.23,72,0,4.12,AU,1628245013
132,Myatlevo,54.8969,35.6762,19.97,96,100,2.93,RU,1628245014
133,Nome,64.5011,-165.4064,11.04,93,90,0.0,US,1628245014
134,South Sioux City,42.4739,-96.4136,20.15,75,1,1.79,US,1628245015
135,Torbay,47.6666,-52.7314,20.98,96,75,10.29,CA,1628245015
136,Hauterive,46.0901,3.4459,22.42,58,93,4.05,FR,1628245016
137,Chazuta,-6.5742,-76.1367,19.38,77,0,1.26,PE,1628245016
138,Hermanus,-34.4187,19.2345,20.5,71,0,1.75,ZA,1628245016
139,Batemans Bay,-35.7167,150.1833,9.39,82,13,1.37,AU,1628245017
140,Faanui,-16.4833,-151.75,25.85,75,29,3.07,PF,1628245017
141,Iqaluit,63.7506,-68.5145,5.85,70,90,2.24,CA,1628245018
142,Fort Nelson,58.8053,-122.7002,13.04,98,96,1.3,CA,1628244724
143,Vanderhoof,54.0166,-124.0198,13.09,47,99,2.91,CA,1628245018
144,Half Moon Bay,37.4636,-122.4286,16.9,90,1,0.0,US,1628244781
145,Fortuna,40.5982,-124.1573,15.82,74,90,0.45,US,1628245019
146,Padang,-0.9492,100.3543,30.03,69,60,1.61,ID,1628245020
147,Loukísia,38.4833,23.45,37.08,18,100,6.17,GR,1628245020
148,Vila Franca do Campo,37.7167,-25.4333,24.23,87,78,4.51,PT,1628245021
149,Pevek,69.7008,170.3133,3.96,98,99,1.07,RU,1628245021
150,Dikson,73.5069,80.5464,8.37,97,98,1.14,RU,1628245021
151,Puerto Ayora,-0.7393,-90.3518,20.86,93,37,3.13,EC,1628245023
152,Lieksa,63.3167,30.0167,19.23,44,81,2.0,FI,1628245023
153,Ndélé,8.4109,20.6473,28.52,68,94,2.79,CF,1628245024
154,Alofi,-19.0595,-169.9187,19.94,94,9,0.51,NU,1628245024
155,Hilo,19.7297,-155.09,23.12,90,90,3.6,US,1628245024
156,Nyurba,63.2842,118.3319,24.11,32,21,2.59,RU,1628245025
157,Sur,22.5667,59.5289,37.04,40,51,1.77,OM,1628245025
158,Vostok,46.4856,135.8833,20.72,92,96,0.43,RU,1628245026
159,Asău,46.4333,26.4,29.66,46,99,5.68,RO,1628245026
160,Aklavik,68.2191,-135.0107,5.46,89,100,7.07,CA,1628245027
161,Trairi,-3.2778,-39.2689,25.76,63,25,5.81,BR,1628244973
162,Mehamn,71.0357,27.8492,16.1,76,0,2.06,NO,1628245027
163,Lerwick,60.1545,-1.1494,17.0,84,100,9.63,GB,1628245028
164,Eureka,40.8021,-124.1637,15.97,93,72,1.55,US,1628244797
165,Hong Kong,22.2855,114.1577,30.98,90,100,1.79,HK,1628245025
166,São Filipe,14.8961,-24.4956,25.13,86,100,3.2,CV,1628245029
167,Port Elizabeth,-33.918,25.5701,18.94,77,40,7.2,ZA,1628245029
168,Ilulissat,69.2167,-51.1,7.01,93,75,3.09,GL,1628245030
169,New Norfolk,-42.7826,147.0587,11.72,61,99,2.24,AU,1628245030
170,Elbistan,38.2059,37.1983,34.04,17,60,1.37,TR,1628245031
171,Ust'-Koksa,50.2696,85.6108,19.25,56,100,0.98,RU,1628245031
172,Merauke,-8.4667,140.3333,25.57,80,59,6.98,ID,1628245032
173,São Francisco do Sul,-26.2433,-48.6381,17.98,95,100,0.83,BR,1628245033
174,Catalão,-18.1658,-47.9464,15.02,74,100,4.56,BR,1628245033
175,Khatanga,71.9667,102.5,23.03,26,38,6.21,RU,1628245033
176,Praia da Vitória,38.7333,-27.0667,24.86,78,20,7.19,PT,1628245034
177,Trat,12.5,102.5,30.54,90,100,2.34,TH,1628245034
178,Mount Gambier,-37.8333,140.7667,9.95,87,75,3.09,AU,1628245035
179,Santa Cruz de la Sierra,-17.8,-63.1667,15.03,77,0,1.54,BO,1628244886
180,Tautira,-17.7333,-149.15,25.01,72,13,1.96,PF,1628245035
181,Coquimbo,-29.9533,-71.3436,11.85,93,90,2.06,CL,1628245036
182,Smoky Lake,54.1169,-112.4686,16.4,77,2,3.6,CA,1628245036
183,Mokolo,10.7398,13.8019,25.16,72,99,1.7,CM,1628245037
184,San Jose,37.3394,-121.895,16.87,87,75,0.0,US,1628244821
185,São João da Barra,-21.6403,-41.0511,18.05,79,10,1.32,BR,1628244920
186,Pandan,14.0453,124.1694,29.95,68,68,7.02,PH,1628245037
187,Shache,38.4167,77.2406,33.97,17,100,2.65,CN,1628245038
188,Kahului,20.8947,-156.47,25.47,85,75,7.2,US,1628245038
189,Suffern,41.1148,-74.1496,20.64,95,1,1.28,US,1628245038
190,Konza,-1.7426,37.1294,21.18,51,77,2.91,KE,1628245039
191,Malayal,7.208,121.942,28.2,77,65,1.39,PH,1628245039
192,Saldanha,-33.0117,17.9442,18.03,65,0,1.55,ZA,1628245040
193,Naze,28.3667,129.4833,26.51,87,78,2.27,JP,1628245040
194,Seymchan,62.8833,152.4333,6.46,89,34,4.68,RU,1628245040
195,Aitape,-3.1374,142.3475,26.6,83,93,1.37,PG,1628245041
196,Rehau,50.25,12.0333,19.53,81,75,4.63,DE,1628245041
197,Saint-Philippe,-21.3585,55.7679,24.75,78,11,5.54,RE,1628245042
198,Kailua,21.4022,-157.7394,26.99,69,75,6.17,US,1628245042
199,Hluti,-27.2167,31.6167,30.41,13,0,1.46,SZ,1628244791
200,Ostrovnoy,68.0531,39.5131,16.5,59,91,1.37,RU,1628245043
201,Usinsk,65.9939,57.5281,11.92,89,100,3.89,RU,1628245043
202,Maragogi,-9.0122,-35.2225,24.03,76,32,5.86,BR,1628245044
203,Bairiki Village,1.3292,172.9752,28.0,74,40,2.06,KI,1628245044
204,Sorong,-0.8833,131.25,26.67,83,89,3.67,ID,1628245045
205,Santa Isabel Rio Negro,-0.4139,-65.0192,20.95,99,68,0.74,BR,1628245045
206,Northam,51.0333,-4.2167,19.1,85,20,9.82,GB,1628245046
207,Laas,46.6166,10.7002,22.41,50,34,1.3,IT,1628245046
208,Bengkulu,-3.8004,102.2655,28.18,73,74,1.41,ID,1628245047
209,Zhezkazgan,47.8043,67.7144,33.66,18,19,3.19,KZ,1628245047
210,Krasnosel'kup,65.7,82.4667,28.03,35,12,4.24,RU,1628245047
211,Margate,51.3813,1.3862,20.58,72,46,2.24,GB,1628245048
212,Esperance,-33.8667,121.9,15.21,59,0,4.18,AU,1628245048
213,Husavik,66.0449,-17.3389,12.95,73,72,1.1,IS,1628245049
214,Aktas,49.7789,72.9608,27.86,24,4,2.78,KZ,1628245049
215,San Cristobal,7.7669,-72.225,18.38,97,91,1.87,VE,1628244882
216,Portland,45.5234,-122.6762,20.02,81,95,0.45,US,1628245013
217,Chokurdakh,70.6333,147.9167,6.65,76,100,4.14,RU,1628245050
218,College,64.8569,-147.8028,18.99,77,75,2.06,US,1628245050
219,Avera,33.194,-82.5271,22.93,92,66,2.73,US,1628244782
220,Arraial do Cabo,-22.9661,-42.0278,18.92,94,75,1.03,BR,1628245051
221,Leningradskiy,69.3833,178.4167,2.56,94,100,4.35,RU,1628245051
222,Scottsbluff,41.8666,-103.6672,20.43,58,1,0.89,US,1628244790
223,Cabedelo,-6.9811,-34.8339,23.37,78,72,7.23,BR,1628245052
224,Coleraine,55.1333,-6.6667,18.02,91,99,1.97,GB,1628245052
225,Şırnak,37.5228,42.4594,37.04,15,3,5.91,TR,1628245053
226,Safi,32.2994,-9.2372,22.89,72,4,5.77,MA,1628245053
227,Ilhéus,-14.7889,-39.0494,20.57,92,100,4.8,BR,1628244824
228,Palmer,42.1584,-72.3287,18.96,83,90,0.0,US,1628245054
229,Laguna de Perlas,12.3429,-83.6712,25.46,89,50,3.46,NI,1628245054
230,El Alto,-4.2714,-81.2147,17.45,82,0,4.53,PE,1628245054
231,Comodoro Rivadavia,-45.8667,-67.5,11.92,37,0,3.6,AR,1628245055
232,Teseney,15.11,36.6575,29.42,51,100,1.71,ER,1628245055
233,Diamantino,-14.4086,-56.4461,19.37,39,95,1.68,BR,1628245056
234,Souillac,-20.5167,57.5167,24.21,60,40,4.63,MU,1628245056
235,Miyako,39.6367,141.9525,25.46,88,63,3.99,JP,1628244855
236,Luangwa,-15.6167,30.4167,28.46,30,0,3.13,ZM,1628245057
237,San Patricio,28.017,-97.5169,27.94,86,100,2.31,US,1628245057
238,Mahébourg,-20.4081,57.7,24.16,60,40,4.63,MU,1628245058
239,Cayenne,4.9333,-52.3333,23.02,91,75,0.89,GF,1628244915
240,Korsholm,63.1142,21.6822,23.52,37,0,1.54,FI,1628245058
241,Eyl,7.9803,49.8164,32.9,42,78,11.53,SO,1628245059
242,Nikel,69.4128,30.222,20.1,50,26,3.93,RU,1628245059
243,Forsytheganj,52.6333,29.7333,25.41,54,100,6.67,BY,1628245059
244,Tasiilaq,65.6145,-37.6368,6.09,78,100,1.7,GL,1628245060
245,Morehead,37.2711,-87.1764,17.84,99,40,0.0,US,1628245050
246,Grand Gaube,-20.0064,57.6608,24.22,56,8,4.02,MU,1628245061
247,Akdağmadeni,39.6603,35.8836,30.53,17,0,3.08,TR,1628245061
248,Fuyang,32.9,115.8167,28.6,85,70,3.06,CN,1628245062
249,Naushahro Firoz,26.8424,68.123,44.28,18,0,2.66,PK,1628245062
250,Hervey Bay,-25.2986,152.8535,15.57,73,84,4.13,AU,1628245063
251,Erciş,39.0287,43.3586,26.78,25,30,4.33,TR,1628245063
252,Luanda,-8.8368,13.2343,24.66,69,50,3.22,AO,1628244829
253,Novobirilyussy,56.9514,90.6661,23.89,54,66,2.21,RU,1628245064
254,Tupelo,34.2576,-88.7034,23.16,84,90,1.34,US,1628245064
255,Camiri,-20.05,-63.5167,5.88,75,0,0.0,BO,1628245065
256,Kodinsk,58.6881,99.1844,24.5,46,95,2.99,RU,1628245065
257,Kununurra,-15.7667,128.7333,24.99,16,5,4.12,AU,1628245066
258,Forestville,38.8451,-76.875,21.24,89,1,2.57,US,1628245066
259,Adrar,20.5022,-10.0711,36.19,17,21,9.25,MR,1628245067
260,Shunyi,40.125,116.6453,32.38,51,0,1.0,CN,1628245067
261,Port Lincoln,-34.7333,135.8667,12.85,69,95,3.97,AU,1628244835
262,Nazilli,37.9163,28.3223,37.61,9,0,3.84,TR,1628245067
263,Manbij,36.5281,37.9549,39.43,12,25,4.01,SY,1628245068
264,Yangi Marg`ilon,40.4272,71.7189,35.4,20,0,4.12,UZ,1628245068
265,Oranjemund,-28.55,16.4333,17.55,52,51,1.5,NA,1628245069
266,Bambanglipuro,-7.95,110.2833,26.72,81,59,7.31,ID,1628245069
267,Lac du Bonnet,50.2536,-96.0612,9.21,95,6,1.28,CA,1628245069
268,Camaná,-16.6228,-72.7111,15.71,88,98,2.85,PE,1628245070
269,Mayuge,0.4597,33.4803,26.62,45,97,3.05,UG,1628245070
270,Yuci,37.6803,112.7319,30.86,25,0,2.0,CN,1628245071
271,Buraidah,26.326,43.975,42.25,9,12,2.83,SA,1628245071
272,Vitória da Conquista,-14.8661,-40.8394,14.55,91,100,3.82,BR,1628245072
273,Fenoarivo Atsinanana,-17.3667,49.4167,23.12,65,29,4.29,MG,1628245072
274,Palmerston,-12.486,130.9833,25.49,27,41,1.54,AU,1628245073
275,Benjamín Hill,30.1667,-111.1,24.36,68,100,3.29,MX,1628245073
