,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,Guarapari,-20.6667,-40.4975,22.73,83,4,1.37,BR,1628245074
277,Severo-Kuril'sk,50.6789,156.125,11.23,77,8,4.87,RU,1628245074
278,Sharjah city,25.3573,55.4033,41.19,43,0,5.66,AE,1628245046
279,Sept-Îles,50.2001,-66.3821,15.03,96,84,0.45,CA,1628244837
280,Bolshaya Sosnova,57.6713,54.6029,21.19,42,2,5.09,RU,1628245075
281,Cap Malheureux,-19.9842,57.6142,24.27,56,5,4.02,MU,1628245075
282,Olafsvik,64.8945,-23.7142,11.85,82,26,0.69,IS,1628245076
283,Jutaí,-5.1833,-68.9,19.86,90,11,0.47,BR,1628245076
284,Birin,26.8865,88.0718,24.94,70,71,1.43,NP,1628245076
285,Kamalia,30.7333,72.65,43.3,22,5,3.1,PK,1628245077
286,Qena,26.1615,32.7183,42.06,8,0,4.24,EG,1628245078
287,Beisfjord,68.3751,17.5988,20.03,48,48,1.53,NO,1628245078
288,Lüderitz,-26.6481,15.1594,19.0,45,44,2.29,NA,1628245078
289,Pio XII,-3.8325,-45.1525,21.82,81,4,0.9,BR,1628245079
290,Tiznit Province,29.5833,-9.5,25.41,54,9,2.5,MA,1628245079
291,Cukai,4.25,103.4167,32.08,83,94,3.1,MY,1628245079
292,Kemijärvi,66.7131,27.4306,18.0,50,99,3.38,FI,1628245080
293,Shangrao,28.4532,117.9686,28.57,83,99,2.75,CN,1628245080
294,Shitanjing,39.2342,106.3439,27.47,15,99,2.14,CN,1628245081
295,Stutterheim,-32.5708,27.424,15.35,41,1,4.49,ZA,1628245081
296,Mlimba,-8.8,35.8167,30.56,35,2,2.48,TZ,1628245081
297,Bartica,6.4,-58.6167,24.18,99,56,1.08,GY,1628245082
298,Ashland,40.8167,-82.2665,18.38,88,60,2.88,US,1628245082
299,Gladstone,-23.85,151.25,15.96,72,99,2.06,AU,1628245083
300,Río Gallegos,-51.6226,-69.2181,2.36,54,0,8.39,AR,1628244848
301,Gamba,-2.65,10.0,25.99,71,49,3.19,GA,1628245083
302,Samarai,-10.6167,150.6667,25.08,77,100,7.35,PG,1628245084
303,Harindānga,22.0383,88.3214,33.99,65,85,3.98,IN,1628245084
304,Thessalon,46.2501,-83.5666,21.27,80,100,4.23,CA,1628245084
305,Nhlangano,-27.1167,31.2,27.28,14,0,3.86,SZ,1628245085
306,Kinablangan,7.6947,126.5503,27.81,86,96,4.43,PH,1628245085
307,Tyazhinskiy,56.116,88.524,21.43,70,93,1.61,RU,1628245086
308,Sioux Lookout,50.1001,-91.917,13.21,94,90,1.54,CA,1628245086
309,Tabuk,17.4189,121.4443,30.79,63,100,0.99,PH,1628245087
310,Sanary-sur-Mer,43.1178,5.8001,30.93,52,2,5.81,FR,1628245087
311,Edd,13.9297,41.6925,35.35,52,79,4.77,ER,1628245088
312,Acapulco de Juárez,16.8634,-99.8901,24.92,89,100,2.73,MX,1628245088
313,São Lourenço da Serra,-23.8525,-46.9425,14.98,97,100,0.52,BR,1628245088
314,Bantry,51.6833,-9.45,17.71,71,48,7.71,IE,1628245089
315,Tazovsky,67.4667,78.7,23.27,49,29,2.71,RU,1628245089
316,Karratha,-20.7377,116.8463,22.35,50,41,6.02,AU,1628245090
317,Leh,34.1667,77.5833,21.63,21,42,3.09,IN,1628245090
318,Airai,-8.9266,125.4092,15.68,78,92,2.1,TL,1628244949
319,Anshun,26.25,105.9333,26.34,69,93,2.04,CN,1628245091
320,Tiksi,71.6872,128.8694,4.69,90,100,7.62,RU,1628245091
321,Coyhaique,-45.5752,-72.0662,2.97,93,90,2.57,CL,1628245092
322,Itarema,-2.9248,-39.9167,25.47,67,24,6.46,BR,1628245092
323,Yar-Sale,66.8333,70.8333,25.23,46,27,4.21,RU,1628245092
324,Noumea,-22.2763,166.4572,21.11,99,97,1.63,NC,1628245093
325,Salym,60.0625,71.4789,25.85,43,100,1.37,RU,1628245093
326,Mar del Plata,-38.0023,-57.5575,12.27,31,90,5.81,AR,1628244901
327,Hokitika,-42.7167,170.9667,8.08,90,31,2.07,NZ,1628245094
328,Aliaga,15.5167,120.8667,27.29,83,100,5.88,PH,1628245094
329,Nanortalik,60.1432,-45.2371,8.34,94,96,4.22,GL,1628245095
330,Monroe,43.1501,-77.6831,18.87,87,20,2.57,US,1628244907
331,Myitkyina,25.3833,97.4,30.34,78,71,2.27,MM,1628245095
332,Pisco,-13.7,-76.2167,16.12,82,90,1.54,PE,1628245096
333,Anadyr,64.75,177.4833,11.28,87,0,4.0,RU,1628245096
334,Mossamedes,-15.1961,12.1522,24.53,56,0,3.01,AO,1628245096
335,Verkh-Usugli,52.7,115.1667,20.15,62,97,0.97,RU,1628245097
336,Mīnāb,27.1467,57.0801,43.19,22,0,8.33,IR,1628245097
337,Beringovskiy,63.05,179.3167,9.78,81,100,2.65,RU,1628245098
338,Harrisonville,38.6533,-94.3488,21.6,86,1,0.0,US,1628245099
339,Santiago,-33.4569,-70.6483,11.27,74,100,1.03,CL,1628244697
340,Kirensk,57.7853,108.1119,18.85,86,50,3.18,RU,1628245099
341,Gravdal,68.1214,13.5031,16.94,67,20,4.12,NO,1628245100
342,Kainantu,-6.2887,145.8655,15.31,98,49,1.42,PG,1628245100
343,Kulhudhuffushi,6.6221,73.07,28.18,79,100,8.38,MV,1628245101
344,Kaitangata,-46.2817,169.8464,8.29,78,77,2.43,NZ,1628245101
345,Maple Creek,49.9168,-109.4848,22.03,46,100,5.14,CA,1628245102
346,Snezhnogorsk,69.1933,33.2531,19.88,58,66,2.75,RU,1628245102
347,Fairbanks,64.8378,-147.7164,19.0,78,1,1.54,US,1628245018
348,Port Blair,11.6667,92.75,28.25,82,100,9.37,IN,1628245103
349,Oktyabr'skoye,43.0645,44.7417,32.08,33,0,4.0,RU,1628245103
350,Bonthe,7.5264,-12.505,26.95,67,99,4.91,SL,1628245103
351,Tezu,27.9167,96.1667,35.78,52,71,1.43,IN,1628245104
352,Blackwater,-23.5833,148.8833,14.97,41,81,3.42,AU,1628245104
353,Basqal,40.7552,48.391,32.25,16,0,5.36,AZ,1628245105
354,Tari,12.4086,4.4914,28.67,63,83,5.74,NG,1628245105
355,Aleppo Governorate,36.25,37.5,39.31,18,93,6.77,SY,1628245106
356,Pātūr,20.45,76.9333,28.09,69,99,6.17,IN,1628245107
357,Kavieng,-2.5744,150.7967,28.13,76,86,6.29,PG,1628245107
358,Haradok,55.4624,29.9816,15.13,98,100,5.42,BY,1628245108
359,Isangel,-19.55,169.2667,21.16,76,87,6.16,VU,1628245108
360,Lompoc,34.6391,-120.4579,13.82,90,90,1.54,US,1628245109
361,Belyy Yar,53.6039,91.3903,17.94,88,40,2.0,RU,1628245109
362,Katobu,-4.9408,122.5276,23.32,93,100,2.62,ID,1628245110
363,Dali,25.7,100.1833,25.02,61,64,2.13,CN,1628245110
364,Shahrud,36.4182,54.9763,31.29,16,3,5.26,IR,1628245110
365,Lorengau,-2.0226,147.2712,27.68,82,54,4.89,PG,1628245111
366,Danielskuil,-28.1887,23.5395,19.72,14,0,5.68,ZA,1628245112
367,Killybegs,54.6333,-8.45,15.84,91,100,2.27,IE,1628245112
368,Ouésso,1.6136,16.0517,27.54,73,79,1.96,CG,1628245112
369,Dabat,12.9842,37.765,16.66,73,96,3.18,ET,1628245113
370,Niterói,-22.8833,-43.1036,19.21,94,40,1.03,BR,1628245072
371,Bowen,-20.0167,148.2333,18.25,71,100,5.38,AU,1628245113
372,Bayburt,40.2589,40.2278,30.05,22,75,0.75,TR,1628245114
373,Palembang,-2.9167,104.7458,28.05,74,20,3.09,ID,1628245114
374,Anito,12.4497,125.2886,30.35,63,89,3.86,PH,1628245115
375,Kandrian,-6.2167,149.55,25.9,81,95,7.17,PG,1628245115
376,Fare,-16.7,-151.0167,25.7,72,14,2.61,PF,1628245115
377,Labuhan,-6.8844,112.2051,29.23,67,43,6.14,ID,1628245116
378,Takoradze,4.8845,-1.7554,27.1,70,56,3.36,GH,1628245116
379,Banepā,27.6298,85.5214,26.18,74,75,2.57,NP,1628245117
380,Codrington,-38.2667,141.9667,10.65,87,100,3.9,AU,1628245117
381,Banes,20.9625,-75.7186,25.34,87,13,2.46,CU,1628245117
382,Revelstoke,50.9832,-118.2023,17.01,88,90,1.54,CA,1628245118
383,Zeya,53.75,127.2667,16.19,98,100,1.39,RU,1628245118
384,Banda Aceh,5.5577,95.3222,30.36,62,84,7.09,ID,1628245118
385,Mariāni,26.6667,94.3333,34.57,62,35,0.93,IN,1628245119
386,Richmond,37.5538,-77.4603,18.41,94,1,0.0,US,1628245120
387,Senador Pompeu,-5.5881,-39.3717,23.3,62,17,3.32,BR,1628245120
388,Narsaq,60.9167,-46.05,7.12,84,96,1.46,GL,1628245120
389,Purpe,64.4803,76.6897,27.52,39,7,5.41,RU,1628245121
390,Saint Anthony,45.0205,-93.218,20.96,90,75,1.34,US,1628245121
391,Miraflores,19.2167,-98.8083,15.57,96,100,1.0,MX,1628245122
392,Dandong,40.1292,124.3947,24.73,83,41,0.92,CN,1628245122
393,Flin Flon,54.7682,-101.865,13.72,90,77,1.32,CA,1628245048
394,Tocopilla,-22.092,-70.1979,15.26,67,19,2.09,CL,1628244714
395,Hofn,64.2539,-15.2082,11.78,86,96,1.01,IS,1628244838
396,Mt. Pleasant,32.7941,-79.8626,25.55,97,90,1.34,US,1628244908
397,Yārāda,17.65,83.2667,34.18,55,75,5.14,IN,1628245123
398,Waingapu,-9.6567,120.2641,26.39,68,96,7.49,ID,1628245124
399,Bukachacha,52.9833,116.9167,18.11,81,96,0.99,RU,1628245124
400,Port-Gentil,-0.7193,8.7815,27.98,65,40,5.14,GA,1628245125
401,Udachny,66.4167,112.4,14.16,51,68,10.09,RU,1628245125
402,Evensk,61.95,159.2333,11.3,76,30,7.54,RU,1628245125
403,Hwange,-18.3693,26.5019,27.09,18,0,2.08,ZW,1628245126
404,Bathsheba,13.2167,-59.5167,27.34,78,40,6.69,BB,1628245126
405,Sturgeon Falls,46.3646,-79.9326,17.83,85,88,3.86,CA,1628245127
406,Jinji,23.2281,110.8261,28.49,89,100,2.59,CN,1628245127
407,Kruisfontein,-34.0033,24.7314,17.71,78,91,3.48,ZA,1628245128
408,Inhambane,-23.865,35.3833,26.03,44,0,2.99,MZ,1628245128
409,Shingū,33.7333,135.9833,28.84,93,87,2.48,JP,1628245128
410,Almaty,43.25,76.95,32.95,16,40,1.0,KZ,1628244908
411,Mahon,39.8885,4.2658,28.31,61,20,3.09,ES,1628244911
412,Bodaybo,57.8506,114.1933,17.44,84,100,2.23,RU,1628245129
413,Panabá,21.2833,-88.2667,23.21,96,22,2.26,MX,1628245130
414,Machalí,-34.1833,-70.6667,12.14,48,100,1.02,CL,1628245130
415,Níjar,36.9665,-2.206,23.8,78,0,3.09,ES,1628245130
416,Gimli,50.6336,-96.9907,13.01,88,7,1.03,CA,1628245131
417,Fonte Boa,-2.4959,-66.2662,20.87,94,59,0.83,BR,1628245131
418,Talnakh,69.4865,88.3972,27.85,37,23,0.77,RU,1628245132
419,Tumen,42.9661,129.8425,21.71,95,100,1.23,CN,1628245132
420,Sinnamary,5.3833,-52.95,23.97,91,77,2.5,GF,1628245132
421,Beloha,-25.1667,45.05,28.13,25,0,0.92,MG,1628245133
422,Tongchuanshi,35.0806,109.0897,32.14,28,60,3.61,CN,1628245133
423,Bundaberg,-24.85,152.35,15.12,77,90,0.0,AU,1628244966
424,Pacifica,37.6138,-122.4869,16.79,93,75,3.13,US,1628244881
425,Nantucket,41.2835,-70.0995,19.08,98,1,2.06,US,1628245085
426,Srednekolymsk,67.45,153.6833,8.8,77,100,2.75,RU,1628245134
427,Barra do Garças,-15.89,-52.2567,18.89,46,100,1.83,BR,1628245135
428,Ancud,-41.8697,-73.8203,9.74,86,100,5.55,CL,1628245061
429,Sakaiminato,35.55,133.2333,30.96,79,40,4.12,JP,1628245135
430,Natal,-5.795,-35.2094,24.12,83,75,5.66,BR,1628245086
431,Jakar,27.5492,90.7525,19.24,86,71,1.66,BT,1628245136
432,Martapura,-3.4167,114.85,30.05,58,77,1.54,ID,1628245136
433,Chitipa,-9.7024,33.2697,25.2,37,1,4.35,MW,1628245137
434,Yulara,-25.2406,130.9889,14.91,29,0,2.06,AU,1628245137
435,Shestakovo,56.4915,103.96,22.42,50,86,3.01,RU,1628245138
436,Sunel,24.3667,75.9667,24.72,91,100,5.95,IN,1628245138
437,Amberley,39.2048,-84.428,19.49,90,40,0.0,US,1628245139
438,Pangnirtung,66.1451,-65.7125,3.99,99,100,2.92,CA,1628245139
439,Neiafu,-18.65,-173.9833,24.16,61,10,0.94,TO,1628245139
440,Wuwei,37.9281,102.6414,25.28,39,74,2.92,CN,1628245140
441,Benton Harbor,42.1167,-86.4542,21.17,72,75,2.57,US,1628245140
442,Armidale,-30.5167,151.65,1.01,93,0,1.33,AU,1628245141
443,Khamamatyurt,43.6081,46.5006,35.01,20,0,7.16,RU,1628245141
444,Farkhor,37.4922,69.4036,39.49,10,1,2.26,TJ,1628245142
445,Buchanan,5.8808,-10.0467,27.98,70,99,3.94,LR,1628245142
446,Bilibino,68.0546,166.4372,13.45,76,95,2.43,RU,1628245143
447,Santa Isabel,-23.3156,-46.2214,14.9,98,100,1.44,BR,1628245143
448,Vestmannaeyjar,63.4427,-20.2734,13.55,94,75,2.06,IS,1628245143
449,San Miguel,13.4833,-88.1833,22.23,99,100,0.96,SV,1628245144
450,Mandalgovi,45.7625,106.2708,27.2,20,80,4.51,MN,1628245144
451,Okhotsk,59.3833,143.3,16.36,59,70,6.39,RU,1628245145
452,Egvekinot,66.3167,-179.1667,7.63,90,100,4.7,RU,1628245145
453,San Quintín,30.4833,-115.95,19.0,90,34,2.24,MX,1628245145
454,Broome,42.2506,-75.833,16.43,87,1,0.0,US,1628245146
455,Jinxiang,27.4327,120.6062,25.95,90,100,1.94,CN,1628245146
456,Kerchevskiy,59.946,56.2884,19.1,45,100,4.74,RU,1628245147
457,Nguru,12.8791,10.4526,31.19,51,98,6.3,NG,1628245147
458,Torrington,41.8007,-73.1212,18.77,97,23,1.52,US,1628245148
459,Cambridge,43.3601,-80.3127,18.63,90,6,2.26,CA,1628245014
460,Maceió,-9.6658,-35.7353,22.69,88,40,1.54,BR,1628245110
461,Guerrero Negro,27.9769,-114.0611,22.22,79,0,2.22,MX,1628245148
462,Kharitonovo,61.4009,47.4978,21.32,39,96,1.2,RU,1628245149
463,Kisi,9.0833,3.85,25.22,79,97,3.41,NG,1628245150
464,Lake City,30.1897,-82.6393,23.62,99,55,1.56,US,1628245150
465,Rey Bouba,8.6724,14.1786,28.45,68,100,1.59,CM,1628245150
466,Huarmey,-10.0681,-78.1522,16.81,89,37,4.05,PE,1628245151
467,Kiyevskoye,45.0383,37.8883,31.17,33,34,3.65,RU,1628245151
468,Bosaso,11.2842,49.1816,37.27,34,15,3.38,SO,1628245152
469,San Miguel de Tucumán,-26.8241,-65.2226,10.0,66,0,3.09,AR,1628245152
470,Esim,4.8699,-2.2405,26.65,72,65,3.86,GH,1628244901
471,Ahipara,-35.1667,173.1667,13.18,86,40,10.28,NZ,1628245153
472,Dodge City,37.7528,-100.0171,20.14,92,1,2.68,US,1628245153
473,Vao,-22.6667,167.4833,20.3,64,69,6.28,NC,1628245154
474,Gijang,35.2442,129.2139,34.85,79,5,4.22,KR,1628245154
475,Darhan,49.4867,105.9228,27.78,50,48,2.85,MN,1628245154
476,Paldiski,59.3567,24.0531,21.06,46,40,7.2,EE,1628245155
477,Abilene,32.4487,-99.7331,23.38,78,1,0.45,US,1628245155
478,Pochutla,15.7432,-96.4661,23.23,91,100,1.64,MX,1628245156
479,Kumul,42.8,93.45,36.07,11,96,8.11,CN,1628245156
480,Haines Junction,60.7522,-137.5108,12.97,82,100,3.09,CA,1628245156
481,Swan Hill,-35.3378,143.5544,11.68,64,100,1.98,AU,1628245157
482,Karonga,-9.9333,33.9333,24.38,57,0,3.55,MW,1628245158
483,Ampanihy,-24.7,44.75,28.43,21,1,1.8,MG,1628245158
484,Constitución,-35.3333,-72.4167,9.78,88,100,1.2,CL,1628245159
485,Urengoy,65.9667,78.3667,27.67,40,13,4.14,RU,1628245159
486,Miquelon,47.0975,-56.3814,17.0,99,100,7.45,PM,1628245160
487,Berëzovka,53.7214,25.4993,18.03,94,100,5.5,BY,1628245160
488,Biak,-0.9131,122.8766,25.0,85,94,3.78,ID,1628245160
489,Qaqortoq,60.7167,-46.0333,7.28,87,90,2.04,GL,1628245161
490,Mayna,54.1135,47.6231,25.03,32,58,2.69,RU,1628245161
491,Novikovo,51.1537,37.8879,31.54,36,89,7.12,RU,1628245162
492,Kaeo,-35.1,173.7833,13.51,85,88,7.31,NZ,1628245162
493,Kokkola,63.8385,23.1307,22.24,49,0,1.34,FI,1628245163
494,Xiaoshi,41.2971,124.1209,20.01,93,100,1.65,CN,1628245163
495,Chui,-33.6971,-53.4616,14.03,90,99,3.88,UY,1628245164
496,Kaka,37.3482,59.6143,38.65,11,0,6.19,TM,1628245087
497,Mokhsogollokh,61.4681,128.9203,22.17,41,49,4.74,RU,1628245165
498,Gogrial,8.5332,28.1004,33.32,45,84,2.07,SS,1628245165
499,Kosa,59.9445,54.9977,19.48,42,9,4.54,RU,1628245165
500,Yayva,59.3303,57.2641,19.47,47,100,4.82,RU,1628245166
501,Santa Fe,-31.6333,-60.7,11.67,94,2,0.89,AR,1628245067
502,Linguère,15.3953,-15.1193,28.93,68,92,6.8,SN,1628245167
503,Bayir,37.2687,28.2167,36.29,10,0,5.68,TR,1628245167
504,Tarakan,3.3,117.6333,27.72,83,75,1.03,ID,1628245167
505,Marawi,7.9986,124.2928,20.36,88,100,1.54,PH,1628245168
506,Levelland,33.5873,-102.378,22.47,61,0,3.93,US,1628244920
507,Talā,30.6803,30.9429,41.51,11,0,4.37,EG,1628245169
508,Camacha,33.0833,-16.3333,23.42,83,75,5.14,PT,1628245169
509,Kutum,14.2,24.6667,30.78,38,54,6.51,SD,1628245169
510,Ust-Maya,60.4167,134.5333,20.15,46,100,4.57,RU,1628245170
511,Al Bardīyah,31.7561,25.0865,33.97,40,0,7.84,LY,1628245170
512,Safford,32.834,-109.7076,30.59,47,20,0.0,US,1628245170
513,Gerāsh,27.6652,54.1371,39.19,13,0,4.9,IR,1628245171
514,Sangar,63.9242,127.4739,22.55,31,13,5.64,RU,1628245171
515,Aransas Pass,27.9095,-97.15,28.02,90,40,1.34,US,1628245172
516,Port Townsend,48.117,-122.7605,19.72,85,90,5.36,US,1628245172
517,Lynn Haven,30.2455,-85.6483,22.06,95,1,2.57,US,1628245172
518,Boyolangu,-8.1181,111.8935,25.82,83,64,3.63,ID,1628245173
519,Vaitape,-16.5167,-151.75,25.85,75,29,3.0,PF,1628245174
520,Sulangan,11.1373,123.7228,30.47,71,76,4.29,PH,1628245174
521,Inongo,-1.95,18.2667,26.48,49,25,0.59,CD,1628245174
522,Tomball,30.0972,-95.6161,25.32,84,1,0.0,US,1628245048
523,Tortolì,39.9256,9.6572,35.55,46,0,3.09,IT,1628245176
524,Zhigansk,66.7697,123.3711,19.71,33,3,3.76,RU,1628245176
525,Kautokeino,69.0125,23.0412,17.54,55,97,7.04,NO,1628245177
526,La Paz,-16.5,-68.15,1.99,37,20,3.09,BO,1628244904
527,Rio Grande,-32.035,-52.0986,14.41,96,99,6.01,BR,1628245177
528,Taoudenni,22.6783,-3.9836,39.41,24,46,10.69,ML,1628245178
529,Yantal',56.8471,105.2542,20.54,58,93,2.29,RU,1628245178
530,Dzhebariki-Khaya,62.2167,135.8,21.91,57,97,0.21,RU,1628245179
531,Oranjestad,12.524,-70.027,27.22,85,0,11.53,AW,1628244894
532,Nurobod,40.9056,69.8023,35.47,15,3,4.86,UZ,1628245179
533,Soyo,-6.1349,12.3689,25.15,68,45,2.44,AO,1628245180
534,Gweta,-20.1833,25.2333,25.63,17,0,3.53,BW,1628245180
535,Jieshi,22.8134,115.8257,29.41,90,100,10.07,CN,1628245181
536,Baruun-Urt,46.6806,113.2792,26.44,37,48,2.63,MN,1628245181
537,Nishihara,26.1842,127.7558,27.81,95,75,2.06,JP,1628245181
538,Atar,20.5169,-13.0499,36.26,15,29,2.79,MR,1628245182
539,Tākestān,36.0696,49.6959,31.97,21,69,4.03,IR,1628245182
540,Kitob,39.0843,66.8332,37.32,11,14,4.55,UZ,1628245183
541,Néa Anchiálos,39.2833,22.8167,35.75,17,20,8.23,GR,1628245183
542,Mercedes,-34.6515,-59.4307,11.59,94,0,3.57,AR,1628245184
543,Umluj,25.0213,37.2685,36.28,32,2,3.3,SA,1628245184
544,Wanning,18.8003,110.3967,29.91,77,96,1.81,CN,1628245184
545,Mocuba,-16.8392,36.9856,30.27,32,0,1.6,MZ,1628245185
546,Jalesar,27.4833,78.3167,34.0,53,100,2.16,IN,1628245185
547,Vila Velha,-20.3297,-40.2925,22.76,85,40,1.54,BR,1628245186
548,Kovdor,67.5662,30.4758,15.02,65,93,1.58,RU,1628245186
549,Rincon,32.296,-81.2354,24.92,95,40,1.54,US,1628245183
550,Christchurch,-43.5333,172.6333,8.28,90,20,2.06,NZ,1628245187
551,Aasiaat,68.7098,-52.8699,4.05,95,99,5.35,GL,1628245187
552,Baker City,44.7749,-117.8344,15.66,80,1,0.0,US,1628245188
553,Edgewater,28.9889,-80.9023,24.6,88,40,2.04,US,1628244943
554,Cap-Chat,49.1001,-66.6821,18.0,77,100,3.09,CA,1628245188
